market,alias,name,id,conf_name,conf_alias,conf_id,venue_capacity
Butler,BUT,Bulldogs,bdb7d7a4-45f8-4bf3-ab85-15488c451494,Big East,BIGEAST,d07bc93e-c84c-44a9-a99d-c213bd0014d6,9100
Providence,PROV,Friars,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,Big East,BIGEAST,d07bc93e-c84c-44a9-a99d-c213bd0014d6,12410
DePaul,DEP,Blue Demons,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,Big East,BIGEAST,d07bc93e-c84c-44a9-a99d-c213bd0014d6,10387
St. John's,SJU,Red Storm,c1f4aae1-aa16-4095-aeab-10e5c2a1236a,Big East,BIGEAST,d07bc93e-c84c-44a9-a99d-c213bd0014d6,5602
Creighton,CREI,Bluejays,7d797407-623e-476d-b299-46de4275414d,Big East,BIGEAST,d07bc93e-c84c-44a9-a99d-c213bd0014d6,18320
Villanova,VILL,Wildcats,4383eb6a-7fd8-4ff2-94c5-43c933121e88,Big East,BIGEAST,d07bc93e-c84c-44a9-a99d-c213bd0014d6,21600
Georgetown,GTWN,Hoyas,8736b67f-5924-400b-bf94-3bd804c36600,Big East,BIGEAST,d07bc93e-c84c-44a9-a99d-c213bd0014d6,20308
Xavier,XAV,Musketeers,0d8a328f-20ce-410b-bed1-15fc01308aaf,Big East,BIGEAST,d07bc93e-c84c-44a9-a99d-c213bd0014d6,10250
UC Davis,UCD,Aggies,8aaad1c0-d16e-4b9f-8541-dac670addd71,Big West,BIGWEST,5f56da49-5d81-43c3-8652-8b8da40c907f,7600
Cal Poly,CP,Mustangs,45439cdb-af7a-4743-936c-dccc76b30877,Big West,BIGWEST,5f56da49-5d81-43c3-8652-8b8da40c907f,3032
Cal State Fullerton,CSF,Titans,c009914b-3303-4dee-b915-978aa48a31d0,Big West,BIGWEST,5f56da49-5d81-43c3-8652-8b8da40c907f,4000
Long Beach State,LBSU,49ers,11a617d5-af03-4cce-bc8a-51114d9e41fe,Big West,BIGWEST,5f56da49-5d81-43c3-8652-8b8da40c907f,5000
UC Santa Barbara,UCSB,Gauchos,3b6293f3-03db-46d2-8793-248963c2d83b,Big West,BIGWEST,5f56da49-5d81-43c3-8652-8b8da40c907f,5600
UC Irvine,UCI,Anteaters,39d00ef7-320d-47cf-a2fa-859bc24d16b4,Big West,BIGWEST,5f56da49-5d81-43c3-8652-8b8da40c907f,6000
Hawaii,HAW,Warriors,d4dc55b3-94fe-4d4f-b0bf-c50c5f064392,Big West,BIGWEST,5f56da49-5d81-43c3-8652-8b8da40c907f,10300
UC Riverside,UCRV,Highlanders,6b170a32-8445-4cb1-8638-724996c3094b,Big West,BIGWEST,5f56da49-5d81-43c3-8652-8b8da40c907f,3168
Cal State Northridge,CSN,Matadors,cb732075-23a5-4e71-9037-50a7a002bdb2,Big West,BIGWEST,5f56da49-5d81-43c3-8652-8b8da40c907f,1600
Elon,ELON,Phoenix,8accb91e-6086-41b3-a420-7a82fa442365,Colonial,COLONIAL,c56db9d1-604f-40ad-8a7f-c3b8abd16fca,1585
William & Mary,WM,Tribe,ad24b724-a11c-4dcd-a68c-67c53833ccb7,Colonial,COLONIAL,c56db9d1-604f-40ad-8a7f-c3b8abd16fca,8600
Delaware,DEL,Fightin Blue Hens,0affc15f-641d-4211-970d-fb9fb8d36842,Colonial,COLONIAL,c56db9d1-604f-40ad-8a7f-c3b8abd16fca,5000
Hofstra,HOF,Pride,36ca2008-cd2e-4549-8b3b-c745167e07f3,Colonial,COLONIAL,c56db9d1-604f-40ad-8a7f-c3b8abd16fca,5023
Towson,TOWS,Tigers,6f3eec09-2918-4739-a0e8-5d79e14a8332,Colonial,COLONIAL,c56db9d1-604f-40ad-8a7f-c3b8abd16fca,5250
Charleston,COFC,Cougars,8548dacb-3636-48a8-8c46-611ab0c15fc0,Colonial,COLONIAL,c56db9d1-604f-40ad-8a7f-c3b8abd16fca,5100
North Carolina-Wilmington,UNCW,Seahawks,c54279f9-3028-4663-893a-7d22482f8098,Colonial,COLONIAL,c56db9d1-604f-40ad-8a7f-c3b8abd16fca,6100
Northeastern,NE,Huskies,93df9b18-e9fc-42a7-bb45-a736c203b4dc,Colonial,COLONIAL,c56db9d1-604f-40ad-8a7f-c3b8abd16fca,6000
Drexel,DREX,Dragons,f2d01b77-0f5d-4574-9e49-2a3eaf822e44,Colonial,COLONIAL,c56db9d1-604f-40ad-8a7f-c3b8abd16fca,2509
James Madison,JMU,Dukes,524e3eec-7dde-45c7-b3cc-6308cec73350,Colonial,COLONIAL,c56db9d1-604f-40ad-8a7f-c3b8abd16fca,7612
Samford,SAM,Bulldogs,c13f96ba-c79c-452f-9f63-3b45fae4e543,Southern,SOUTHERN,468829d1-8886-4c14-91d1-e6441673b2f6,4974
Chattanooga,CHAT,Mocs,4c9fb59b-6cec-4b0d-bb0f-628b391d138c,Southern,SOUTHERN,468829d1-8886-4c14-91d1-e6441673b2f6,10928
Western Carolina,WCU,Catamounts,6bff595c-32cb-4028-837c-c7de2a2107e6,Southern,SOUTHERN,468829d1-8886-4c14-91d1-e6441673b2f6,7826
UNC Greensboro,UNCG,Spartans,612f7f66-1de1-4d42-b842-9a508daab911,Southern,SOUTHERN,468829d1-8886-4c14-91d1-e6441673b2f6,23500
East Tennessee State,ETSU,Buccaneers,d750d88f-f7b8-4bc3-a5f6-36e7a67ec93e,Southern,SOUTHERN,468829d1-8886-4c14-91d1-e6441673b2f6,6149
Citadel,CIT,Bulldogs,412e7f0d-fb93-4e6e-be1f-9a4c7490d121,Southern,SOUTHERN,468829d1-8886-4c14-91d1-e6441673b2f6,6000
Furman,FUR,Paladins,ca5318f2-48eb-4f6b-896a-966b900aa42f,Southern,SOUTHERN,468829d1-8886-4c14-91d1-e6441673b2f6,4000
Mercer,MER,Bears,a14b0057-8eb5-43d2-a33b-666196da933e,Southern,SOUTHERN,468829d1-8886-4c14-91d1-e6441673b2f6,3500
Virginia Military,VMI,Keydets,227d3567-d57b-417e-afc4-735e4cb308a1,Southern,SOUTHERN,468829d1-8886-4c14-91d1-e6441673b2f6,5029
Wofford,WOF,Terriers,9916713f-b243-452b-93ae-a2c3ccabf68b,Southern,SOUTHERN,468829d1-8886-4c14-91d1-e6441673b2f6,3500
Arkansas-Little Rock,UALR,Trojans,0dadedb0-2bd3-45e7-91a3-93af6c4e87f2,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,5600
Coastal Carolina,CCAR,Chanticleers,4af63ebd-d3c8-4772-bbde-938a078bd057,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,3600
Appalachian State,APP,Mountaineers,87d88c93-29bc-4306-b0a6-87c6f6e80da1,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,8325
Texas-Arlington,UTA,Mavericks,7c2b372b-b5f0-466e-90cf-880beec57584,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,7000
Louisiana-Monroe,ULM,Warhawks,18585f21-1d63-4400-974c-433fd5073c34,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,7085
